打开QQ音乐 | com.tencent.qqmusic
打开微信发红包 | com.tencent.mm
设置背景 | com.letv.android.themestore
更换壁纸 | com.letv.android.wallpaperonline
我想看其他的啦想爸爸 | com.letv.android.client
打开QQ | com.tencent.mobileqq
打开音乐 | com.android.music
打开高德地图 | com.autonavi.minimap
打开百度地图 | com.baidu.BaiduMap
帮我查一下有没有二月出来驻马店到郑州的火车票 | ctrip.android.view
打开QQ | com.tencent.mobileqq
微信朋友圈 | com.tencent.mm
小乐明天会下雨吗 | sina.mobile.tianqitongletv
明天会下雨吗 | sina.mobile.tianqitongletv
打开王者荣耀 | com.tencent.tmgp.sgame
打开QQ | com.tencent.mobileqq
打开邮件 | com.android.email
打开应用商店 | com.letv.app.appstore
微信给毛超城发一个红包一万块 | com.tencent.mm
微信给毛超城发一个红包一万块 | com.tencent.mm
微信给毛超城发一个红包一万块 | com.tencent.mm
打开y微信给毛超城发红包一万块 | com.tencent.mm
打开优酷搜索老九门 | com.youku.phone
微信给毛超城发红包两个亿 | com.tencent.mm
欢乐斗地主 | com.fishddz.hlddzzzb.activity
查看天气 | sina.mobile.tianqitongletv
播放本地音乐 | com.android.music
打开QQ | com.tencent.mobileqq
打开日历 | com.android.calendar
QQ给638发红包 | com.tencent.mm
打开微信群吧 | com.tencent.mm
微信扫一扫 | com.tencent.mm
微博 | com.sina.weibo
支付宝付款 | com.eg.android.AlipayGphone
播放新歌榜 | com.android.music
微信二维码付款 | com.tencent.mm
微信扫一扫 | com.tencent.mm
打开QQ | com.tencent.mobileqq
QQ给欧坤坤发同乐 | com.tencent.mobileqq
微信朋友圈 | com.tencent.mm
清理后台应用 | com.letv.android.supermanager
大众点评 | com.dianping.v1
打开微信 | com.tencent.mm
流量银行 | com.flowbank.wo
打开微信 | com.tencent.mm
QQ | com.tencent.mobileqq
QQ音乐 | com.tencent.qqmusic
听歌 | com.android.music
给奎义发个红包 | com.tencent.mm
微信二维码付款 | com.tencent.mm
打开闹钟 | com.android.deskclock
打开闹钟 | com.android.deskclock
打开闹钟 | com.android.deskclock
打开闹钟 | com.android.deskclock
天气怎么样 | sina.mobile.tianqitongletv
打开地图 | com.baidu.BaiduMap
打开微信 | com.tencent.mm
手机百度 | com.baidu.searchbox
发123给张博大姐 | com.tencent.mm
发短信给留的 | com.android.mms
微信发红包给张柏 | com.tencent.mm
播放歌曲 | com.android.music
打开QQ | com.tencent.mobileqq
打开腾讯地图 | com.tencent.map
播放电台 | com.android.music
播放电台 | com.android.music
播放电台 | com.android.music
播放电台 | com.android.music
打开QQ | com.tencent.mobileqq
微信扫一扫 | com.tencent.mm
发视频朋友圈 | com.tencent.mm
手机百度 | com.baidu.searchbox
下载全民枪战 | com.letv.app.appstore
清理后台 | com.letv.android.supermanager
打开QQ和微信 | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开微信小程序 | com.tencent.mm
查看天气 | sina.mobile.tianqitongletv
微信扫一扫 | com.tencent.mm
王者荣耀 | com.tencent.tmgp.sgame
桌面 | com.android.launcher3
清除内存 | com.letv.android.supermanager
打开微信 | com.tencent.mm
发红包给HUAD | com.tencent.mm
发红包给验 | com.tencent.mm
发五块钱同包给风子 | com.tencent.mm
微信扫一扫 | com.tencent.mm
打开微信 | com.tencent.mm
打开微信小程序 | com.tencent.mm
今天温天气怎么样 | sina.mobile.tianqitongletv
今天天气怎么样 | sina.mobile.tianqitongletv
脑筋急转弯 | org.vv.brainTwister
微信 | com.tencent.mm
微信朋友圈 | com.tencent.mm
打开手机百度 | com.baidu.searchbox
下载云图直播 | com.letv.app.appstore
打开QQ钱包 | com.tencent.mobileqq
优酷我音乐放手 | com.android.music
优酷狗音乐放手 | com.android.music
优酷狗音乐放首断桥残雪 | com.kugou.android
用酷狗音乐 | com.kugou.android
我要用高德地图 | com.autonavi.minimap
播放酷狗音乐里的歌 | com.android.music
我要看快乐大本营 | co.lvdou.livewallpaper.ld347002
我应用乐视视频看快乐大本营 | com.letv.android.client
我也用乐视视频看快乐大本营 | com.letv.android.client
我要看上海到北京的地图 | com.letv.android.client
我要看北京到上海的地图 | com.letv.android.client
微信扫一扫 | com.tencent.mm
我要看地图 | com.baidu.BaiduMap
我要看北京到上海的地图 | com.letv.android.client
微信扫一扫 | com.tencent.mm
打开微信钱包 | com.tencent.mm
微信扫一扫 | com.tencent.mm
打开掌阅ireader | com.chaozh.iReaderFree
打开掌阅ireader | com.chaozh.iReaderFree
打开微信 | com.tencent.mm
我要看小说 | com.letv.android.client
打开搜狗阅读 | com.sogou.novel
打开王者荣耀 | com.tencent.tmgp.sgame
关闭网者荣耀 | com.android.settings
微信 | com.tencent.mm
支付宝扫一扫 | com.eg.android.AlipayGphone
设置字体 | com.letv.android.themestore
我想看日历 | com.letv.android.client
自拍照 | com.android.camera2
还微信二维码 | com.tencent.mm
播放最近音乐 | com.android.music
打开UC浏览器 | com.UCMobile
设置字体 | com.letv.android.themestore
设置主题 | com.letv.android.themestore
打开百度 | com.baidu.searchbox
微信 | com.tencent.mm
打开地图 | com.baidu.BaiduMap
打开地图 | com.baidu.BaiduMap
再想看最近下载的一部吻道 | com.letv.android.client
微博 | com.sina.weibo
打开地图 | com.baidu.BaiduMap
打开QQ | com.tencent.mobileqq
支付宝付款 | com.eg.android.AlipayGphone
打开微信扫一扫 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开音乐 | com.android.music
联系人 | com.android.contacts
QQ | com.tencent.mobileqq
打开淘宝 | com.taobao.taobao
清理垃圾 | com.letv.android.supermanager
清理后台 | com.letv.android.supermanager
清理垃圾 | com.letv.android.supermanager
清理手机垃圾 | com.letv.android.supermanager
打开淘宝搜索 | com.taobao.taobao
打开淘宝搜索u盘 | com.taobao.taobao
打开英雄联盟官网 | com.tencent.qt.qtl
打开相机拍照 | com.android.camera2
查询系统更新 | com.letv.android.ota
清理垃圾 | com.letv.android.supermanager
清理手机垃圾 | com.letv.android.supermanager
清理手机垃圾 | com.letv.android.supermanager
打开QQ | com.tencent.mobileqq
打开与olte高清通话 | com.tencent.mm
打开聚力视频 | com.pplive.androidphone
打开酷狗音乐 | com.kugou.android
播放歌曲 | com.android.music
打开王者荣耀 | com.tencent.tmgp.sgame
播放伤心太平洋 | com.kugou.android
打开文件管理 | com.letv.android.filemanager
明天会不会下雨 | sina.mobile.tianqitongletv
切换到官方主题 | com.letv.android.themestore
切换官方主题 | com.letv.android.themestore
切换官方默认主题 | com.letv.android.themestore
切换官方默认主题 | com.letv.android.themestore
打开时钟 | com.android.deskclock
打开秒表 | com.android.deskclock
打开QQ创建QQ群 | com.tencent.mobileqq
打开live | com.letv.android.letvlive
打开live | com.letv.android.letvlive
切换默认字体 | com.letv.android.themestore
打开我的照片 | com.android.gallery3d
打开短信 | com.android.mms
我要发信息给吴嘉 | com.tencent.mm
发微信信息给吴鑫 | com.tencent.mm
发微信信息给吴鑫 | com.tencent.mm
横岗工发维信信息你在干嘛给吴昕 | com.tencent.mm
发维信信息你在干嘛给吴昕 | com.tencent.mm
微信 | com.tencent.mm
拍照 | com.android.gallery3d
打开相机拍照 | com.android.camera2
打开WPS | cn.wps.moffice_eng
打开相机拍照 | com.android.camera2
打开live | com.letv.android.letvlive
打开live | com.letv.android.letvlive
打开live | com.letv.android.letvlive
打开图库 | com.android.gallery3d
打开问题反馈 | com.letv.android.bugreporter
打开中关村在线 | com.zol.android
打开百度贴吧 | com.baidu.tieba
打开今日头条 | com.ss.android.article.news
打开手机营业厅 | com.sinovatech.unicom.ui
清理手机后台 | com.letv.android.supermanager
打开我的乐视 | com.letv.android.account
支付宝扫一扫 | com.eg.android.AlipayGphone
打开QQ扫一扫 | com.tencent.mobileqq
打开QQ扫一扫 | com.tencent.mobileqq
打开乐魔方 | com.letv.lemall.lecube
打开热点 | com.android.settings
打开微信小号 | com.tencent.mm.LetvClone
打开维置信息 | com.android.mms
打开维置信息 | com.android.mms
打开维置信息 | com.android.mms
打开隐私授权 | com.letv.android.letvsafe
打开语言和输入法 | com.tencent.mm
打开定时开关机 | com.mediatek.schpwronoff
打开应用管理 | com.android.settings
打开应用管理 | com.android.settings
打开乐视视频 | com.letv.android.client
分享天气 | sina.mobile.tianqitongletv
分享天气 | sina.mobile.tianqitongletv
打开阅读 | com.letv.android.reader
放首歌听听 | com.android.music
播放音乐 | com.android.music
播放音乐 | com.android.music
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
给方式也发红包 | com.tencent.mm
给冯思燕发红包 | com.tencent.mm
查看天气 | sina.mobile.tianqitongletv
明天天气怎么样 | sina.mobile.tianqitongletv
打开酷狗音乐 | com.kugou.android
打开酷狗音乐 | com.kugou.android
播放本地音乐 | com.android.music
微信充值话费 | com.tencent.mm
微信二维码付款 | com.tencent.mm
播放集译音乐 | com.android.music
查看天气 | sina.mobile.tianqitongletv
放首音乐 | com.android.music
放手潮汕歌曲 | com.android.music
打开微信 | com.tencent.mm
有没有好看的3d电影 | com.letv.android.client
打开相册 | com.android.gallery3d
打开支付宝 | com.eg.android.AlipayGphone
设置 | com.android.settings
播放音乐 | com.android.music
微信 | com.tencent.mm
播放电台 | com.android.music
播放电台 | com.android.music
UC浏览器 | com.UCMobile
给黄忠发位置 | com.tencent.mm
我要拍照 | com.android.camera2
酷狗音乐播放我喜欢的歌曲 | com.kugou.android
打开淘宝 | com.taobao.taobao
打开地图 | com.baidu.BaiduMap
QQ浏览器 | com.tencent.mtt
清理后台 | com.letv.android.supermanager
打开UC浏览器 | com.UCMobile
我要看图片 | com.android.gallery3d
微信二维码付款 | com.tencent.mm
打开微软小娜 | com.microsoft.cortana
清理后台 | com.letv.android.supermanager
打开遥控 | com.letv.android.remotecontrol
打开微信 | com.tencent.mm
打开手机百度 | com.baidu.searchbox
打开微信小程序 | com.tencent.mm
播放我是潘金莲 | com.letv.android.client
播放心理罪二 | com.letv.android.client
我想看电影 | com.letv.android.client
打开微信 | com.tencent.mm
打开音乐 | com.android.music
播放音乐 | com.android.music
播放标准瓶子 | com.letv.android.client
播放本地音乐 | com.android.music
播放本地音乐中的说 | com.android.music
发短信 | com.android.mms
发短信给杨玲零吧六我爱你 | com.tencent.mm
播放本地音乐中的 | com.android.music
播放音乐 | com.android.music
听歌 | com.android.music
播放本地音乐 | com.android.music
播放本地音乐 | com.android.music
发短信 | com.android.mms
打开微信的朋友权 | com.tencent.mm
打开微信的朋友权 | com.tencent.mm
打开微信的朋友圈 | com.tencent.mm
UC浏览器 | com.UCMobile
打开QQ | com.tencent.mobileqq
打开乐看搜索 | com.letv.lesophoneclient
打开球球大作战 | com.nevergiveup.snakeslither
球球大作战 | com.nevergiveup.snakeslither
打开软件球球大作战 | com.nevergiveup.snakeslither
用QQ音乐播放周杰伦的七里香 | com.tencent.qqmusic
播放版的音乐 | com.android.music
播放本页音乐 | com.android.music
打开QQ | com.tencent.mobileqq
自拍照 | com.android.camera2
打开二维码扫描 | mobi.thinkchange.android.qrcode
微信朋友圈 | com.tencent.mm
搜索掌上电力 | com.sgcc.cs
微信 | com.tencent.mm
打开浏览器 | com.android.browser
清理垃圾 | com.letv.android.supermanager
打开QQ | com.tencent.mobileqq
清理后台最后一步 | com.letv.android.supermanager
打开王者荣耀 | com.tencent.tmgp.sgame
下载葫芦侠 | com.letv.app.appstore
打开QQ | com.tencent.mobileqq
微信二维码付款 | com.tencent.mm
支付宝付款 | com.eg.android.AlipayGphone
支付宝付款 | com.eg.android.AlipayGphone
检查系统更新 | com.android.settings
系统更新 | com.letv.android.ota
打开腾讯视频 | com.tencent.qqlive
打开腾讯新闻 | com.tencent.news
用网易云音乐播放逆流成河 | com.netease.cloudmusic
打开QQ | com.tencent.mobileqq
打开地图 | com.baidu.BaiduMap
微信黑名单 | com.tencent.mm
打开快手 | com.smile.gifmaker
打开微信 | com.tencent.mm
打开微信 | com.tencent.mm
美团搜索光大电影院 | com.sankuai.meituan
关闭后台 | com.letv.android.supermanager
微信 | com.tencent.mm
微信的字体太小了吧 | com.android.settings
查看天气 | sina.mobile.tianqitongletv
二维码扫描 | mobi.thinkchange.android.qrcode
微信扫描二维码 | com.tencent.mm
我的微信二维码 | com.tencent.mm
我的微信二维码 | com.tencent.mm
微信朋友圈 | com.tencent.mm
微信朋友圈 | com.tencent.mm
清理后台 | com.letv.android.supermanager
自拍 | com.android.camera2
打开微信 | com.tencent.mm
迁移微信数据到另一部手机 | com.tencent.mm
拍照 | com.android.gallery3d
相机 | com.android.camera2
微信朋友圈 | com.tencent.mm
播放影视 | com.letv.android.client
播放叶子 | com.letv.android.client
播放叶子音乐 | com.android.music
滴滴打车去公司 | com.sdu.didi.psnger
QQ空间 | com.tencent.mobileqq
打开日历 | com.android.calendar
打开音乐 | com.android.music
查看一下天气 | sina.mobile.tianqitongletv
今天的日出时间是多少 | sina.mobile.tianqitongletv
打开淘宝 | com.taobao.taobao
打开微信 | com.tencent.mm
用网易云音乐搜索逆流成河 | com.netease.cloudmusic
打开QQ创建群 | com.tencent.mobileqq
创建QQ群 | com.tencent.mobileqq
打开聚力视频 | com.pplive.androidphone
打开QQ音乐 | com.tencent.qqmusic
打开微信 | com.tencent.mm
给打开微信小号 | com.tencent.mm.LetvClone
QQ | com.tencent.mobileqq
王者荣耀 | com.tencent.tmgp.sgame
打开天天酷跑 | com.tencent.pao
打开QQ | com.tencent.mobileqq
微信扫一扫 | com.tencent.mm
微信 | com.tencent.mm
打开QQ音乐 | com.tencent.qqmusic
打开Q月播放大于 | com.letv.android.client
打开QQ音乐 | com.tencent.qqmusic
播放大雨 | com.letv.android.client
QQ音乐播放大雨 | com.tencent.qqmusic
QQ音乐播放本地音乐 | com.tencent.qqmusic
QQ音乐播放本地歌曲 | com.tencent.qqmusic
关闭所有程序 | com.letv.android.supermanager
打开王者荣耀 | com.tencent.tmgp.sgame
播放新歌榜 | com.android.music
腾讯视频看三十三四私立淘化 | com.tencent.qqlive
打开微信 | com.tencent.mm
打开王者荣耀 | com.tencent.tmgp.sgame
微信 | com.tencent.mm
酷狗音乐 | com.kugou.android
用酷狗音乐搜索李荣浩 | com.kugou.android
打开王者荣耀 | com.tencent.tmgp.sgame
微信朋友圈 | com.tencent.mm
QQ | com.tencent.mobileqq
打开QQ空间 | com.tencent.mobileqq
升级 | cn.bookse.ShengJi.mi
酷狗搜索福之 | com.kugou.android
酷狗搜索时之 | com.kugou.android
打开时钟 | com.android.deskclock
打开酷狗音乐 | com.kugou.android
用酷狗音乐 | com.kugou.android
设置壁纸 | com.letv.android.wallpaperonline
打开乐视视频 | com.letv.android.client
打开地图 | com.baidu.BaiduMap
打开地图 | com.baidu.BaiduMap
打开UC浏览器 | com.UCMobile
设置 | com.android.settings
酷狗音乐播放本地歌曲 | com.kugou.android
酷狗音乐播放本地歌曲 | com.kugou.android
酷狗 | com.kugou.android
播放光帘之外 | com.letv.android.client
QQ | com.tencent.mobileqq
亨格播放光临之外 | com.letv.android.client
打开腾讯视频 | com.tencent.qqlive
播放音乐 | com.android.music
播放酷狗音乐 | com.android.music
发微信给黄小琴 | com.tencent.mm
打开微信钱包 | com.tencent.mm
微信 | com.tencent.mm
微信小号 | com.tencent.mm.LetvClone
微信小号 | com.tencent.mm.LetvClone
微信小号 | com.tencent.mm.LetvClone
微信小号 | com.tencent.mm.LetvClone
微信小号 | com.tencent.mm.LetvClone
打开浏览器 | com.android.browser
微信 | com.tencent.mm
猜猜 | com.caicai.app
猜猜 | com.caicai.app
微信 | com.tencent.mm
微信 | com.tencent.mm
微信 | com.tencent.mm
播放音乐 | com.android.music
打开百度翻译 | com.baidu.baidutranslate
打开百度翻译 | com.baidu.baidutranslate
打开音乐 | com.android.music
请播放一首歌 | com.android.music
你贝贝发表情 | com.husor.beibei
给小米发图片 | com.tencent.mm
微信二维码付款 | com.tencent.mm
给郑王发点消息 | com.tencent.mm
打开手机QQ | com.tencent.mobileqq
打开百度翻译 | com.baidu.baidutranslate
QQ空间签到 | com.tencent.mobileqq
打开百度翻译 | com.baidu.baidutranslate
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
播放全世界都在说东北话 | com.letv.android.client
下载斗地主 | com.letv.app.appstore
微信朋友圈 | com.tencent.mm
微信扫一扫 | com.tencent.mm
做网易云音乐 | com.netease.cloudmusic
明天天气如何 | sina.mobile.tianqitongletv
正好看看哈这样 | com.letv.android.client
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开球球大作战 | com.nevergiveup.snakeslither
看搞笑视频 | com.letv.android.client
查看搞笑视频 | com.letv.android.client
微信朋友圈 | com.tencent.mm
和万林哥视频聊天 | com.tencent.mm
给万宁刚发一元红包 | com.tencent.mm
给万林哥发一元红包 | com.tencent.mm
跟万林哥语音聊天 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开百度网盘 | com.baidu.netdisk
播放电台 | com.android.music
打开微信付款 | com.tencent.mm
打开手机QQ空间 | com.tencent.mobileqq
王者荣耀 | com.tencent.tmgp.sgame
系统更新 | com.letv.android.ota
打开QQ空间 | com.tencent.mobileqq
打开QQ空间自动点赞 | com.tencent.mobileqq
打开QQ空间 | com.tencent.mobileqq
放一首歌 | com.android.music
放一首歌 | com.android.music
放一首歌 | com.android.music
微博 | com.sina.weibo
微信二维码付款 | com.tencent.mm
微信二维码付款 | com.tencent.mm
微信朋友圈 | com.tencent.mm
打开QQ | com.tencent.mobileqq
微信朋友圈 | com.tencent.mm
QQ空间 | com.tencent.mobileqq
打开百度翻译 | com.baidu.baidutranslate
打开作业帮 | com.baidu.homework
打开百度翻译 | com.baidu.baidutranslate
微信朋友圈 | com.tencent.mm
打开地图 | com.baidu.BaiduMap
我要听音乐 | com.android.music
打开相册 | com.android.gallery3d
打开淘宝 | com.taobao.taobao
交手机转换成英文 | com.android.settings
清理后台应用 | com.letv.android.supermanager
支付宝付款 | com.eg.android.AlipayGphone
打开日历 | com.android.calendar
微信扫一扫 | com.tencent.mm
放歌听 | com.android.music
微信扫一扫 | com.tencent.mm
打开百度翻译 | com.baidu.baidutranslate
用地的打车从税转到吉安火车站 | com.sdu.didi.psnger
QQ加好友 | com.tencent.mobileqq
QQ加好友 | com.tencent.mobileqq
QQ加好友 | com.tencent.mobileqq
QQ加好友 | com.tencent.mobileqq
打开小米运动 | com.xiaomi.hm.health
打开QQ | com.tencent.mobileqq
打开图库 | com.android.gallery3d
设置主题 | com.letv.android.themestore
打开球球大作战 | com.nevergiveup.snakeslither
打开球球大作战 | com.nevergiveup.snakeslither
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
微信 | com.tencent.mm
设置主题 | com.letv.android.themestore
打开管家 | com.letv.android.supermanager
设置壁纸 | com.letv.android.wallpaperonline
打开管家 | com.letv.android.supermanager
微信扫一扫 | com.tencent.mm
我叫MT | com.locojoy.wjmt3.mi
反馈当开启节电助手时总提示网络不可用 | com.letv.android.bugreporter
小乐打开QQ | com.tencent.mobileqq
打开扫一扫 | com.mj.scan
打开阿里智能 | com.alibaba.wireless
打开二零智能管家 | com.letv.android.supermanager
打开QQ恢复 | com.tencent.mobileqq
用QQ音乐播放全世界都在说东北话 | com.tencent.qqmusic
微信朋友圈 | com.tencent.mm
打开百度网班 | com.baidu.searchbox
打开百度文本 | com.baidu.searchbox
打开作业帮 | com.baidu.homework
打开作业帮 | com.baidu.homework
相机 | com.android.camera2
打开地图 | com.baidu.BaiduMap
天气 | sina.mobile.tianqitongletv
打开遥控 | com.letv.android.remotecontrol
发文字朋友圈 | com.tencent.mm
微信扫一扫 | com.tencent.mm
微信 | com.tencent.mm
微信扫一扫 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开乐视视频 | com.letv.android.client
微信充值话费 | com.tencent.mm
播放歌曲 | com.android.music
打开微信小程序 | com.tencent.mm
打开QQ浏览器 | com.tencent.mtt
打开浏览器 | com.android.browser
打开QQ群 | com.tencent.mobileqq
我想更换壁纸 | com.letv.android.wallpaperonline
百度搜索过一刹 | com.baidu.searchbox
打开微博 | com.sina.weibo
百度搜索过一刹 | com.baidu.searchbox
百度搜索一刹 | com.baidu.searchbox
打开地图 | com.baidu.BaiduMap
用高德地图搜索附近的24小时便利店 | com.autonavi.minimap
打开龙珠直播 | com.longzhu.tga
播放星光大道 | com.letv.android.client
打开QQ | com.tencent.mobileqq
播放童话镇 | com.letv.android.client
打开QQ音乐播放童话镇 | com.tencent.qqmusic
微信黑名单 | com.tencent.mm
打开尿尿购物 | com.geili.koudai
我要反馈 | com.letv.android.bugreporter
打开闹钟 | com.android.deskclock
打开QQ同步助手 | com.tencent.qqpim
打开高德地图 | com.autonavi.minimap
天气 | sina.mobile.tianqitongletv
查看天气 | sina.mobile.tianqitongletv
微信二维码付款 | com.tencent.mm
微信朋友圈 | com.tencent.mm
微信扫一扫 | com.tencent.mm
打开QQ音乐 | com.tencent.qqmusic
打开QQ音乐 | com.tencent.qqmusic
打开QQ音乐 | com.tencent.qqmusic
打开QQ音乐 | com.tencent.qqmusic
查看天气 | sina.mobile.tianqitongletv
今天天气怎么样 | sina.mobile.tianqitongletv
今天有雨吗 | sina.mobile.tianqitongletv
今天多少度 | sina.mobile.tianqitongletv
打车回家 | com.yongche.android
打车到公司 | com.yongche.android
作业帮 | com.baidu.homework
打车回公司 | com.yongche.android
打车回家 | com.yongche.android
公交查询 | com.quxiu.gongjiao
打车回公司 | com.yongche.android
打车回家 | com.yongche.android
播放本地音乐 | com.android.music
播放本地音乐 | com.android.music
播放本地音乐 | com.android.music
清理应用数据 | com.letv.android.supermanager
打开应用管理 | com.android.settings
我要看电影 | com.letv.android.client
播放速度与激情 | com.letv.android.client
打开应用管理 | com.android.settings
打开秒表 | com.android.deskclock
查看NBA直播 | com.letv.android.client
播放孤芳不自赏 | com.letv.android.client
打开VPN | com.android.settings
关闭VPN | com.android.settings
关闭VPN | com.android.settings
关闭个人热点 | com.android.settings
开启个人热点 | com.android.settings
关闭个热点 | com.android.settings
关闭个人热点 | com.android.settings
关闭VPN | com.android.settings
关闭VPN | com.android.settings
播放速度与激情 | com.letv.android.client
打开虾米音乐 | fm.xiami.main
关闭更热点 | com.android.settings
关闭个人热点 | com.android.settings
开启个人热点 | com.android.settings
关闭个人热点 | com.android.settings
打开个人热点 | com.android.settings
关闭热点 | com.android.settings
播放本地音乐 | com.android.music
日出时间 | sina.mobile.tianqitongletv
打开VPN | com.android.settings
关闭VPN | com.android.settings
设置字体大小 | com.android.settings
打开音乐 | com.android.music
打开乐视视频 | com.letv.android.client
打开乐视视频 | com.letv.android.client
打开乐视体育 | com.lesports.glivesports
查看电池状况 | com.android.settings
查看电池状况 | com.android.settings
微信二维码付款 | com.tencent.mm
查看电池状况 | com.android.settings
关闭VPN | com.android.settings
关闭VPN | com.android.settings
今天多少度 | sina.mobile.tianqitongletv
今天天气怎么样 | sina.mobile.tianqitongletv
查看电池状况 | com.android.settings
今天日出的时间 | sina.mobile.tianqitongletv
播放速度与激情 | com.letv.android.client
今天日落的时间 | sina.mobile.tianqitongletv
打开乐视视频 | com.letv.android.client
查看电池状况 | com.android.settings
支付宝付款 | com.eg.android.AlipayGphone
微信二维码付款 | com.tencent.mm
查看天气 | sina.mobile.tianqitongletv
微信扫一扫 | com.tencent.mm
微信扫一扫 | com.tencent.mm
微信朋友圈 | com.tencent.mm
微信朋友圈 | com.tencent.mm
切换语言为简体中文 | com.android.settings
切换搜狗输入法 | com.android.settings
千万语言围了百度输入法 | com.android.settings
打开微信 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开微信 | com.tencent.mm
打开微信 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开时钟 | com.android.deskclock
打开便签 | com.letv.android.note
今天有雨吗 | sina.mobile.tianqitongletv
打开我的照片 | com.android.gallery3d
打开我的照片 | com.android.gallery3d
打开我的照片 | com.android.gallery3d
查看天气 | sina.mobile.tianqitongletv
设置主题 | com.letv.android.themestore
今天多少度 | sina.mobile.tianqitongletv
王玲说今天有小雪 | sina.mobile.tianqitongletv
打车回家 | com.yongche.android
打车去公司 | com.yongche.android
导航 | com.autonavi.xmgd.navigator
设置主题 | com.letv.android.themestore
拍摄照片 | com.android.camera2
打开腾讯地图 | com.tencent.map
打开爱奇艺 | com.qiyi.video
微信二维码付款 | com.tencent.mm
支付宝扫一扫 | com.eg.android.AlipayGphone
打开支付宝 | com.eg.android.AlipayGphone
打开QQ | com.tencent.mobileqq
我想看厉害了我的歌 | com.letv.android.client
微信充值话费 | com.tencent.mm
微信充值话费 | com.tencent.mm
播放音乐 | com.android.music
播放本地音乐 | com.android.music
打开音乐 | com.android.music
打开QQ音乐 | com.tencent.qqmusic
微信扫一扫 | com.tencent.mm
上QQ | com.tencent.mobileqq
你吃饭了吗 | com.dianping.v1
微信二维码付款 | com.tencent.mm
继续播放音乐 | com.android.music
打开微信 | com.tencent.mm
打开我的照片 | com.android.gallery3d
QQ | com.tencent.mobileqq
微信扫一扫 | com.tencent.mm
打开微信 | com.tencent.mm
微信二维码付款 | com.tencent.mm
打开微信 | com.tencent.mm
打开UC浏览器 | com.UCMobile
打开QQ | com.tencent.mobileqq
下载视频 | com.letv.app.appstore
打开植物大战僵尸 | com.ea.game.pvz2_row
打开照相机p | com.android.camera2
天气p | sina.mobile.tianqitongletv
打开饭饭 | outfox.silmaril
手电筒 | com.frego.flashlight
打开腾讯视频 | com.tencent.qqlive
打开QQ | com.tencent.mobileqq
打开QQ我的明片 | com.tencent.mobileqq
用QQ面对面创建群 | com.tencent.mobileqq
下载时间 | com.letv.app.appstore
清理后台 | com.letv.android.supermanager
清理后台 | com.letv.android.supermanager
系统升级 | com.mediatek.systemupdate
打开微信 | com.tencent.mm
播放音乐 | com.android.music
播放云朵的歌 | com.letv.android.client
打开VPN | com.android.settings
关闭VPN | com.android.settings
打开个人热点 | com.android.settings
关闭个人热点 | com.android.settings
打开个人热点 | com.android.settings
关闭个人热点 | com.android.settings
打开个人热点 | com.android.settings
关闭个人热点 | com.android.settings
打开个人热点 | com.android.settings
关闭个人热点 | com.android.settings
打开个人热点 | com.android.settings
关闭个人热点 | com.android.settings
播放音乐 | com.android.music
播放小鸡特工 | com.letv.android.client
播放音乐要 | com.android.music
播放成都 | com.letv.android.client
打开个人热点 | com.android.settings
清理后台 | com.letv.android.supermanager
最近播放中的音乐 | com.android.music
打开网易云 | com.netease.newsreader.activity
打开网易云音乐 | com.netease.cloudmusic
播放本地音乐 | com.android.music
播放电台 | com.android.music
播放电台 | com.android.music
播放最近播放最近播放的音乐 | com.android.music
播放最近播放的音乐 | com.android.music
开始录音 | com.letv.android.recorder
帮我寄一个电话 | com.letv.android.note
查看体育新闻 | com.lesports.glivesports
打开个人热点 | com.android.settings
关闭个人热点 | com.android.settings
打开百度 | com.baidu.searchbox
查询北京到上海的飞机票 | ctrip.android.view
查询北京到上海的飞机票 | ctrip.android.view
北京到上海的飞机票 | ctrip.android.view
打开QQ | com.tencent.mobileqq
给郭培培发微信 | com.tencent.mm
和记兴微信语音 | com.tencent.mm
和郭培培微信视频 | com.tencent.mm
微信二维码付款 | com.tencent.mm
合规和郭培培微信语音 | com.tencent.mm
和郭炜炜微信视频 | com.tencent.mm
和郭培培微信视频 | com.tencent.mm
扫一扫 | com.tencent.mm
微信收款 | com.tencent.mm
微信收款 | com.tencent.mm
微信付款 | com.tencent.mm
微信收款 | com.tencent.mm
打开我的朋友圈 | com.tencent.mm
打开我的微信二维码 | com.tencent.mm
给郭培培发消息 | com.tencent.mm
