打开QQ音乐 | QQ音乐
给我来一首童话镇 | 音乐
打开QQ | QQ
关闭后台应用 | 管家
关闭手机后台 | 管家
打开手机应用商店 | 应用商店
我要看心理罪二第31 | 乐视视频
打开天气 | 天气
关闭天气 | 设置
播放心理罪 | 乐视视频
淘宝 | 手机淘宝
关闭后台运营 | 管家
关闭手机管家 | 设置
拍摄照片 | 相机
打开心理罪 | 心理FM
打开QQ | QQ
打开QQ | QQ
打开小米运动 | 小米运动
打开QQ | QQ
打开微信 | 微信
打开QQ | QQ
清理后台 | 管家
打开微信 | 微信
打开QQ | QQ
听歌 | 音乐
打开浏览器 | 浏览器
微信创建群 | 微信
乐视 | 乐视视频
打开腾讯视频 | 腾讯视频
打开QQ | QQ
打开地图 | 百度地图
导航 | 高德导航
微信 | 微信
打开掌上英雄联盟 | 掌上英雄联盟
打开管家 | 管家
清理垃圾 | 管家
查看我英雄联盟的隐藏分 | 掌上英雄联盟
打开应用宝 | 应用宝
关闭应用宝 | 设置
查看天气 | 天气
停止QQ | 设置
哎呀打开微信 | 微信
打开天气通 | 天气通
打开浏览器 | 浏览器
打开图库 | 相册
用QQ给珊珊来迟发信息 | QQ
用QQ给珊珊来迟发走 | QQ
打开QQ | QQ
我要去全民k歌唱歌 | 大众点评
我要去全民k歌唱歌 | 大众点评
打开全民k歌 | 全民K歌
打开指南针 | 指南针
朋友圈发文字 | 微信
你好小乐帮我打开微信 | 微信
设置主题 | 主题商店
管家清理运行 | 管家
打开QQ | QQ
打开地图 | 百度地图
QQ | QQ
天气 | 天气
微信扫一扫 | 微信
打开微信小号 | 微信小号
打开微信 | 微信
打开拨号 | 拨号
打开QQ双开 | QQ
打开QQ | QQ
更换壁纸 | 壁纸
打开QQ空间 | QQ
打开微信抢红包 | 微信
微信扫一扫 | 微信
帮我打开部落冲突搜资源 | 部落冲突
吃饭 | 大众点评
微信 | 微信
打开微信红包助手 | 微信红包助手
关闭乐迷社区 | 设置
停止乐迷社区 | 设置
关闭微信 | 设置
播放本地歌曲 | 音乐
酷狗播放本地音乐 | 音乐
酷狗播放本地音乐 | 音乐
微信扫一扫 | 微信
退出微信扫一扫 | 微信
打开微信扫一扫 | 微信
打开微信扫一扫 | 微信
QQ | QQ
打开乐视商城 | 乐视商城
退出乐视商城 | 设置
打开滴的公交查询 | 公交查询
打开滴的公交查询 | 公交查询
打开土豆视频 | 土豆视频
退出土豆视频 | 设置
打开土豆视频 | 土豆视频
查看天气 | 天气
微信二维码付款 | 微信
微信二维码付款 | 微信
微信二维码付款 | 微信
微信二维码付款 | 微信
微信朋友圈 | 微信
打开微信扫一扫 | 微信
打开微信扫一扫 | 微信
打开微信扫一扫 | 微信
打开微信扫一扫 | 微信
打开微信扫一扫 | 微信
打开微信扫一扫 | 微信
微信扫一扫 | 微信
微信扫一扫 | 微信
微信扫一扫 | 微信
打开微信扫一扫 | 微信
微信扫一扫 | 微信
微信二维码付款 | 微信
设置 | 设置
打开微信 | 微信
打开拨号 | 拨号
打开计算器 | 计算器
打开京东 | 京东
微信朋友圈 | 微信
微信二维码付款 | 微信
我要玩王者荣耀 | 王者荣耀
发视频朋友圈 | 微信
微信二维码付款 | 微信
微信二维码付款 | 微信
这里我发短信 | 信息
给你我发短信 | 信息
打开微信清老婆 | 微信
打开微信老婆 | 微信
打开秒表 | 闹钟
打开部落冲突 | 部落冲突
打开部落冲突 | 部落冲突
打开部落冲突app | 部落冲突
打开部落冲突app | 部落冲突
打开部落冲突 | 部落冲突
微信扫一扫 | 微信
打开地图 | 百度地图
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
明天的天气怎么样 | 天气
打开日历 | 待办事项
播放音乐 | 音乐
继续播放心理罪 | 乐视视频
你好小乐帮我打开微信 | 微信
最近天气如何 | 天气
给刘允发红包 | 微信
给宝爸发个红包 | 微信
打开乐视视频 | 乐视视频
微信扫一扫 | 微信
微信扫一扫 | 微信
微信扫一扫 | 微信
打开QQ | QQ
可以发个红包给我吗 | 微信
打开优酷播放死人之夜 | 优酷视频
微信扫一扫 | 微信
乐视视频搜索不得不爱 | 乐视视频
打开乐视车联 | 乐视视频
天气 | 天气
今日头条 | 今日头条
打开QQ音乐 | QQ音乐
播放歌曲悟空 | QQ音乐
播放歌曲戴荃悟空 | QQ音乐
打开QQ | QQ
播放器 | 播放器
播放本地音乐 | 音乐
打开QQ音乐 | QQ音乐
打开QQ | QQ
今天的天气 | 天气
查看天气 | 天气
我要看照片 | 相册
下载万能 | 应用商店
下载软件 | 应用商店
加QQ好友 | QQ
打开手机QQ | QQ
打开微信联系老婆 | 微信
打开我的照片 | 相册
微信 | 微信
微信扫一扫 | 微信
打开小米运动 | 小米运动
播放热歌榜 | 音乐
查看天气 | 天气
打开QQ | QQ
打开王者荣耀 | 王者荣耀
打开微信摇摇 | 微信
关闭后台应用 | 管家
打开QQ给哥发红包 | QQ
打开我的QQ空间 | QQ
给我设置一个漂亮的主题 | 主题商店
打开手机QQ | QQ
我要吐槽 | 问题反馈
微信朋友圈 | 微信
播放歌曲 | 音乐
播放歌曲演员 | 音乐
播放歌曲演员 | 音乐
打开QQ | QQ
打开QQ | QQ
打开乐视视频 | 乐视视频
淘宝查询快递 | 手机淘宝
关闭短信 | 设置
支付宝扫一扫 | 支付宝
打开淘宝 | 手机淘宝
给何太太发微信 | 微信
打开yy | YY
打开追书神器 | 追书神器
给李谢莹发微信我爱你 | 微信
关闭数据流量 | 设置
打开邮件 | 电子邮件
打开马林的邮件 | 电子邮件
打开未读邮件 | 电子邮件
播放甄嬛传 | 乐视视频
给我来一首大悲咒 | 音乐
给我来一首勇往直前 | 音乐
打开哔哩哔哩动画 | 哔哩哔哩
打开哔哩哔哩动画 | 哔哩哔哩
打开应用商店 | 应用商店
QQ | QQ
你好想了帮我打开微信 | 微信
打开乐视视频 | 乐视视频
关闭王者荣耀 | 设置
关闭王者荣耀前瞻版 | 设置
打开微信 | 微信
打开QQ | QQ
打开扫一扫 | 扫一扫
打开微信扫一扫 | 微信
打开应用商店 | 应用商店
退出设置 | 设置
打开QQ | QQ
打开王者荣耀 | 王者荣耀
打开微信扫一扫 | 微信
打开全民k歌 | 全民K歌
前几个打开QQ | QQ
打开UC浏览器书签 | UC浏览器
打开王者荣耀 | 王者荣耀
给表弟发QQ婚车找了多少 | QQ
加QQ好友 | QQ
打开QQ | QQ
打开收音机 | 收音机
打开音乐 | 音乐
打开QQ | QQ
京东搜索3728995 | 京东
微信朋友圈 | 微信
你好想了帮我打开淘宝 | 手机淘宝
上海支付吧 | 大众点评
打开支付宝 | 支付宝
查看天气 | 天气
打开乐视视频 | 乐视视频
播放本地音乐 | 音乐
清理内存 | 管家
微信支付在哪里设置 | 微信
打开QQ | QQ
打开爱奇艺 | 爱奇艺
打开QQ | QQ
打开QQ | QQ
清理垃圾 | 管家
清理垃圾 | 管家
打开QQ | QQ
打开QQ | QQ
打开浏览器 | 浏览器
打开浏览器 | 浏览器
打开浏览器 | 浏览器
浏览器 | 浏览器
打开短信 | 信息
打开QQ | QQ
播放音乐 | 音乐
播放笔记这首歌 | 音乐
播放笔记 | 乐视视频
打开酷狗 | 酷狗音乐
关闭微信 | 设置
打开微信 | 微信
嗯明天什么天气 | 天气
嗯我想听音乐 | 音乐
我想听音乐 | 音乐
打开短信 | 信息
打开地图 | 百度地图
打开地图哦 | 百度地图
打开微信发QQ红包 | 微信
关闭百度 | 设置
停止百度浏览器 | 设置
打开q打开音乐搜索 | 音乐
给我来一首大悲咒 | 音乐
关闭微信 | 设置
微信扫一扫 | 微信
打开乐视遥控 | 乐视视频
打开乐视遥控 | 乐视视频
打开遥控 | 遥控器
清理缓存ios | 管家
关闭QQ浏览器 | 设置
打开QQ浏览器 | QQ浏览器
微信 | 微信
微信朋友圈 | 微信
QQ和女神语音 | QQ
打开微信二维码 | 微信
打开联系人 | 拨号
播放音乐 | 音乐
播放刚好遇见你 | 音乐
打开作业帮 | 作业帮
打开作业帮 | 作业帮
打开作业帮 | 作业帮
打开音乐 | 音乐
给小明发图片 | 微信
打开百度网盘 | 百度云
微信 | 微信
听首歌曲吧 | 音乐
看个电影嘛 | 乐视视频
打开优酷视频 | 优酷视频
打开管家 | 管家
打开QQ | QQ
我要看雪鹰领主 | 乐视视频
打开QQ | QQ
开启音乐 | 音乐
开启QQ音乐 | QQ音乐
QQ音乐厅ii | 音乐
QQ音乐打开不将就 | QQ音乐
听不将就 | 音乐
打开王者荣耀 | 王者荣耀
音乐厅pap | 音乐
音乐打开pap | 音乐
音乐搜索pap | 音乐
打开音乐搜索pap | 音乐
打开QQ音乐搜索pap | QQ音乐
打开最右 | 最右
音乐厅pap | 音乐
打开微博搜索当大仙 | 新浪微博
微博上找到张大先发送李白 | 新浪微博
微博搜索张大仙 | 新浪微博
打开腾讯视频 | 腾讯视频
打开爱奇艺搜索黄金城 | 爱奇艺
用微信给文静转十二元 | 微信
为啥微信扫一扫 | 微信
打开QQ | QQ
QQ | QQ
打开相册 | 相册
打开微信 | 微信
发QQ消息到427兄弟 | QQ
打开王者荣耀 | 王者荣耀
打开优酷 | 优酷视频
发QQ消息给陈晓敏 | QQ
打开优酷 | 优酷视频
打开腾讯视频 | 腾讯视频
打开QQ发短信给蔡松溪 | QQ
我想听音乐 | 音乐
打开QQ | QQ
打开追书神器 | 追书神器
打开QQ | QQ
打开王者荣耀前传版 | 王者荣耀
打开应用宝更新应用 | 应用宝
打开网易云音乐 | 网易云音乐
查看天气 | 天气
打开天气 | 天气
打开王者荣耀 | 王者荣耀
打开QQ发送信息给蔡双喜 | 微信
打开QQ联系人 | 拨号
打开QQ | QQ
打开QQ | QQ
微信充值话费 | 微信
放本地音乐 | 音乐
帮我打开酷狗 | 酷狗音乐
帮我退出酷狗 | 设置
打开微信 | 微信
启用QQ音乐 | QQ音乐
打开微信 | 微信
给老妈发红包 | 微信
打开QQ | QQ
打开网易云音乐 | 网易云音乐
播放网易云音乐 | 乐视视频
播放本地音乐 | 音乐
打开计算器 | 计算器
打开VPN | 设置
切换壁纸 | 壁纸
打开应用宝 | 应用宝
微信扫一扫 | 微信
打开音乐 | 音乐
放手歌曲 | 音乐
我想观看欢乐喜剧人 | 乐视视频
小鸟打开微博 | 新浪微博
打开QQ | QQ
清理垃圾 | 管家
微信充值话费 | 微信
天气 | 天气
上QQ | QQ
上微信 | 微信
上QQ | QQ
王者荣耀 | 王者荣耀
关闭王者荣耀 | 设置
王者荣耀 | 王者荣耀
打开QQ | QQ
发信息 | 信息
QQ | QQ
打开腾讯视频 | 腾讯视频
应用管理浏览器 | 设置
打开文件管理器 | 文件管理
查看淘宝快递 | 手机淘宝
播放本地音乐 | 音乐
打开QQ | QQ
打开QQ音乐 | QQ音乐
微信扫一扫 | 微信
支付宝付款 | 支付宝
打开支付宝查询快递 | 手机淘宝
打开QQ音乐设计 | QQ音乐
打开QQ设置 | QQ
打开淘宝快递 | 手机淘宝
打开淘宝快递 | 手机淘宝
打开天天酷跑 | 天天酷跑
打开天天酷跑 | 天天酷跑
打开全民超神 | 全民超神
打开应用宝 | 应用宝
打开QQ | QQ
打开微信联系人加为 | 拨号
给刘玮琳发消息 | 微信
打开QQ音乐 | QQ音乐
关闭QQ音乐 | 设置
关闭微信 | 设置
支付宝付款 | 支付宝
发微信消息你好给舒穆莹 | 微信
打开老旧的微信 | 微信
发微信消息你好给黄健 | 微信
打开QQ并发信息你好给泉铨 | QQ
打开QQ并发送信息我你好给祝章宾 | 微信
打开QQ钱包 | QQ
打开支付宝 | 支付宝
退出支付宝 | 设置
我要看照片 | 相册
打开QQ发信息你好给雨佳伟 | QQ
退出支付宝 | 设置
打开QQ发信息你好给好号 | QQ
拍摄照片 | 相机
关闭支付宝 | 设置
打开QQ发信息你是傻逼给好好 | QQ
打开微信二维码 | 微信
查看明天从玉山到上饶的高铁 | 携程旅行
打开铁路12306查看明天玉山到上饶的高铁 | 携程旅行
打开QQ音乐播放爱江山更爱美人 | QQ音乐
打开淘宝搜索三星s7h | 手机淘宝
打开QQ音乐 | QQ音乐
打开QQ发哈哈给宝宝 | QQ
打开今日头条搜索三星 | 今日头条
打开龙珠直播搜索隔壁老王 | 龙珠直播
打开QQ | QQ
微信朋友圈 | 微信
微信朋友圈 | 微信
pap播放ppap | 乐视视频
播放ppap | 乐视视频
发QQ动态 | QQ
查看天气 | 天气
查看天气 | 天气
查看天气 | 天气
应用管理 | 设置
下载穿越火线 | 应用商店
打开QQ | QQ
打开地图导航 | 百度地图
微信二维码付款 | 微信
应用管理 | 设置
关闭地图 | 设置
微信朋友圈 | 微信
查看天气 | 天气
支付宝付款 | 支付宝
支付宝付款 | 支付宝
打开滴滴出行 | 滴滴出行
今天天气如何 | 天气
第二播放迪迦奥特曼 | 乐视视频
有什么好看的电视剧 | 乐视视频
播放迪迦奥特曼 | 乐视视频
播放迪迦奥特曼 | 乐视视频
打开工商银行 | 中国工商银行
打开地图 | 百度地图
打开乐视视频 | 乐视视频
打开微信 | 微信
QQ打开QQ | QQ
王者荣耀 | 王者荣耀
查看天气 | 天气
查看天气 | 天气
打开QQ音乐播放歌曲 | QQ音乐
放刘德华的歌曲 | 音乐
放一首李白 | 音乐
打开QQ | QQ
微信朋友圈 | 微信
打开腾讯视频 | 腾讯视频
微信朋友圈 | 微信
打开QQ | QQ
关闭支付宝 | 设置
QQ | QQ
给我来一首不会说话的爱情 | 音乐
打开QQ音乐 | QQ音乐
更换桌面壁纸 | 壁纸
打开QQ | QQ
打开爱奇艺 | 爱奇艺
打开追书神器 | 追书神器
播放音乐 | 音乐
播放魔女红的歌曲 | 音乐
播放魔力红的歌曲 | 乐视视频
微信二维码付款 | 微信
我想听歌 | 音乐
播放文丽音乐 | 音乐
播放本兮的歌 | 音乐
播放一手本兮的歌 | 音乐
查看QQ邮箱 | QQ邮箱
打开音乐 | 音乐
明天天气怎么样 | 天气
打开QQ | QQ
打开微信 | 微信
发微信给幸福一家人你在干嘛 | 微信
微信摇一摇 | 微信
打开快手 | 快手
打开管家 | 管家
打开京东 | 京东
打开微信 | 微信
播放音乐 | 音乐
支付宝 | 支付宝
读取短信 | 信息
微信发红包给 | 微信
打开QQ | QQ
打开QQ音乐 | QQ音乐
打开微信 | 微信
打开QQ音乐播放降央卓玛的爱江山更爱美人 | QQ音乐
使用QQ音乐播放爱江山更爱美人 | QQ音乐
打开QQ音乐 | QQ音乐
退出微博 | 设置
打开QQ币 | QQ
打开QQ | QQ
打开QQ并发送给宝宝早安两个字 | QQ
打开微信给祝占斌发信息你好 | 微信
微信扫一扫 | 微信
打开QQ | QQ
微信扫一扫 | 微信
打开QQ发你好给宝宝 | QQ
打开QQ给刘江动发今天什么时候到我家来 | QQ
打开QQ发今天什么时候到我家来给刘江东 | QQ
打开QQ发我也不知道给刘江东 | QQ
打开QQ发送 | QQ
打开QQ并发送信息你自己问一下给刘江东 | 微信
打开日历 | 待办事项
QQ空间 | QQ
微信朋友圈 | 微信
QQ空间发说说 | QQ
打开今日头条 | 今日头条
今天天气 | 天气
打开微信 | 微信
播放本地音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
伍瑶看照片 | 相册
打开QQ | QQ
伍瑶看照片 | 相册
转到百度输入法 | 设置
转到搜狗输入法 | 设置
打开地图 | 百度地图
打开相机 | 相机
清理垃圾 | 管家
播放本地音乐 | 音乐
QQ空间签到 | QQ
打开UC浏览器 | UC浏览器
QQ空间签到 | QQ
播放我收藏的音乐 | 音乐
打开微信 | 微信
今天有雨吗 | 天气
今天下雨吗 | 天气
打开全民k歌 | 全民K歌
关闭QQ音乐 | 设置
QQ音乐 | QQ音乐
关闭QQ音乐 | 设置
播放最近播放的音乐 | 音乐
播放热歌榜 | 音乐
播放音乐中陈奕迅的 | 音乐
哎呀播放音乐中陈奕迅的 | 音乐
播放陈奕迅的稳稳的幸福 | 音乐
播放新歌榜 | 音乐
播放最近播放的音乐 | 音乐
播放最近播放的音乐好久不见 | 音乐
播放最近播放音乐中的好久不见 | 音乐
播放最近 | 乐视视频
播放最近播放 | 乐视视频
播放最近播放音乐最近播放中的稳稳地幸福 | 音乐
播放最近播放中的音乐 | 音乐
播放最近播放中的稳稳的幸福 | 音乐
更换主题 | 主题商店
更换字体 | 主题商店
更换系统默认字体 | 主题商店
打开相机 | 相机
微信朋友圈 | 微信
打开指南针 | 指南针
拍摄照片 | 相机
拍摄照片 | 相机
播放最近播放的音乐 | 音乐
播放最近播放中的好久不见 | 音乐
播放音乐最近播放中的稳稳的幸福 | 音乐
播放最近播放中的英文文的幸福 | 乐视视频
更换手机壁纸 | 壁纸
查看照片 | 相册
打开乐视视频 | 乐视视频
播放电视剧 | 乐视视频
今天天气怎么样 | 天气
打开音乐最近播放中的稳稳的幸福 | 音乐
打开QQ音乐 | QQ音乐
打开音乐最近播放中的稳稳的幸福 | 音乐
并播放中的稳稳的幸福 | 音乐
打开乐世上应用商店 | 应用商店
最近播放中的稳稳的幸福 | 音乐
设置主题 | 主题商店
下载我的战争 | 应用商店
打开文件管理 | 文件管理
打开遥控 | 遥控器
打开联系人 | 拨号
打开微博 | 新浪微博
打开UC浏览器 | UC浏览器
我要听歌 | 音乐
开我的了是 | 乐视视频
卸载应用 | 设置
打开我的乐视 | 我的乐视
退出我的乐视 | 设置
打开我的乐视 | 我的乐视
开始录音 | 录音机
启动录音机 | 录音机
启动录音机录音 | 录音机
查看天气 | 天气
到计时十秒 | 便签
我要听等你的季节 | 音乐
我要听刘诗诗的歌 | 音乐
要听王菲的歌 | 音乐
启动播放器播放视频 | 播放器
启动播放器播放 | 播放器
播放守护丽人第29集 | 乐视视频
播放播放器里面的SD卡的的视频 | 乐视视频
播放新歌榜里的音乐 | 音乐
打开日历 | 待办事项
我想听歌 | 音乐
播放图库里面的视频 | 乐视视频
播放文件管理里面的视频 | 乐视视频
打开图库 | 相册
启动文件管理 | 文件管理
播放文件管理的本地视频 | 乐视视频
播放最近播放里的 | 乐视视频
播放最近播放 | 乐视视频
播放音乐最近播放里的歌 | 音乐
停止QQ | 设置
播放最近音乐 | 音乐
今天有雨吗 | 天气
今天有雨吗 | 天气
今天有风吗 | 天气
今天有雾霾吗 | 天气
我要看照片 | 相册
手机百度 | 手机百度
支付宝 | 支付宝
打开微信 | 微信
播放音乐 | 音乐
打开QQ音乐播放音乐 | 音乐
打开QQ音乐 | QQ音乐
打开相机 | 相机
打开微信 | 微信
打开QQ | QQ
打开微信 | 微信
查看天气 | 天气
微信朋友圈 | 微信
查看天气 | 天气
QQ | QQ
设置字体 | 主题商店
QQ扫一扫 | QQ
设置壁纸 | 壁纸
打开微信 | 微信
打开微信打开微信 | 微信
打开QQ打开QQ | QQ
打开天气 | 天气
微信二维码付款 | 微信
打开微信 | 微信
打开QQ音乐 | QQ音乐
打开QQ音乐播放 | QQ音乐
扫一扫 | 微信
播放热歌榜 | 音乐
扫一扫 | 微信
我要吃饭 | 大众点评
打开计算器 | 计算器
播放视频鬼妈妈 | 乐视视频
播放播放器中的电影鬼妈妈 | 乐视视频
用音乐放首王菲的歌 | 音乐
有音乐放首王菲的歌 | 音乐
播放王菲的匆匆那年 | 音乐
播放原创音乐榜怎么又出来了原处 | 音乐
播放原创音乐榜 | 音乐
我要看今天的体育新闻 | 乐视体育
我要看今天的体育新闻 | 乐视体育
打开相机拍一张照片 | 相机
打开录音机录音 | 录音机
帮我推荐几首歌 | 音乐
播放原创音乐榜 | 音乐
播放电台 | 音乐
嗯播放音乐 | 音乐
打开秒表 | 闹钟
播放绅士 | 音乐
播放速度与激情 | 乐视视频
打开QQ | QQ
我想看电影 | 乐视视频
打开文件管理 | 文件管理
播放音乐七里香 | 音乐
播放音乐 | 音乐
播放音乐等你的季节 | 音乐
微信朋友圈 | 微信
打开我的照片 | 相册
设置字体为最大 | 主题商店
播放电台 | 音乐
小明的朋友圈 | 微信
查看小明的朋友圈 | 微信
用微信给小明发红包 | 微信
打开浏览器 | 浏览器
打开QQ音乐 | QQ音乐
播放本兮的一首歌 | QQ音乐
百度 | 手机百度
QQ音乐搜索陈奕迅 | QQ音乐
播放林俊杰的一首歌 | QQ音乐
打开QQ给想发信息 | 微信
启动录音机 | 录音机
关闭q音乐 | 设置
打开图库 | 相册
打开时钟 | 闹钟
微信给妈发信息 | 微信
播放新歌榜 | 音乐
打开QQ给开发信息 | 微信
支付宝扫一扫 | 支付宝
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
播放我收藏的音乐 | 音乐
我要吃饭 | 大众点评
打开微信 | 微信
用网易云音乐播放我要你 | 网易云音乐
查看天气 | 天气
今天天气怎么样 | 天气
查看天气 | 天气
放首周杰伦的七里香 | 音乐
放首周杰伦的七里香 | 音乐
放首王菲的红豆 | 音乐
关闭数据流量 | 设置
关闭数据流量 | 设置
查看天气 | 天气
微博搜索 | 新浪微博
播放最近播放最近MV | 乐视视频
应用管理 | 设置
播放下一首 | 乐视视频
我要换主题 | 主题商店
播放下一首 | 乐视视频
播放音乐 | 音乐
换主题 | 主题商店
今天的天气情况 | 天气
哪里有好吃的蛋糕 | 大众点评
PM2点五 | 天气
日出时间 | 天气
日落时间 | 天气
设置壁纸 | 壁纸
播放本地音乐 | 音乐
播放本地MV | 乐视视频
我想听歌 | 音乐
播放在线音乐 | 音乐
播放酷狗音乐 | 音乐
拍摄照片 | 相机
打开我的照片 | 相册
放首歌来听听 | 音乐
查看天气 | 天气
使用搜狗输入法 | 设置
播放新歌榜 | 音乐
播放热歌榜 | 音乐
播放热歌榜 | 音乐
播放新歌榜 | 音乐
播放音乐 | 音乐
查看天气 | 天气
查看天气预报 | 天气
播放七里香 | 音乐
支付宝付款 | 支付宝
搜索酷狗音乐 | 酷狗音乐
播放酷狗音乐 | 音乐
查看天气 | 天气
播放音乐 | 音乐
播放七里香 | 音乐
播放我收藏的歌曲 | 音乐
发微信给良品青年 | 微信
发QQ给小灰灰 | QQ
查看头条 | 今日头条
吃饭 | 大众点评
打开QQ音乐 | QQ音乐
打开天气 | 天气
我要看照片 | 相册
播放音乐 | 音乐
播放七里香 | 音乐
播放七里香 | 音乐
打开京东 | 京东
播放七里香 | 音乐
播放七里香 | 音乐
播放七里香 | 音乐
打开QQ | QQ
打开QQ | QQ
打开酷狗音乐 | 酷狗音乐
关闭酷狗音乐 | 设置
关闭酷狗音乐 | 设置
播放本地视频 | 乐视视频
打开QQ运动 | QQ
启动文件管理查看视频 | 文件管理
二维码付款 | 微信
打开日历 | 待办事项
今天天气晴朗 | 天气
启动文件管理查看音乐 | 文件管理
微信二维码付款 | 微信
打开全民超神 | 全民超神
播放本地MV | 乐视视频
打开QQ | QQ
应用宝 | 应用宝
打开王者荣耀 | 王者荣耀
微信朋友圈 | 微信
微信扫一扫 | 微信
打开QQ | QQ
播放音乐 | 音乐
打开天气 | 天气
打开QQ | QQ
播放我收藏的音乐 | 音乐
微信朋友圈 | 微信
微信和慢摇视频聊天 | 微信
微信和玛雅视频聊天 | 微信
微信和拔牙视频聊天 | 微信
相机 | 相机
打开王者荣耀 | 王者荣耀
发消息给熊头 | 微信
下了发QQ消息给学姐 | QQ
打开便签 | 便签
打开王者荣耀 | 王者荣耀
查看支付宝 | 支付宝
微信 | 微信
天气 | 天气
打开QQ | QQ
打开百度云 | 百度云
打开QQ | QQ
打开微信 | 微信
打开微博 | 新浪微博
今天天气 | 天气
打开微信二维码 | 微信
播放别说 | 乐视视频
播放音乐 | 音乐
微信充值话费 | 微信
播放音乐 | 音乐
微信充值话费 | 微信
播放音乐 | 音乐
播放音乐 | 音乐
网易云音乐搜索大花轿 | 网易云音乐
打开音乐播放器 | 音乐
播放别说 | 乐视视频
打开QQ音乐播放音乐 | 音乐
打开QQ音乐 | QQ音乐
打开QQ | QQ
打开QQ音乐播放别说 | QQ音乐
打开微博 | 新浪微博
播放音 | 乐视视频
关闭语音助手 | 设置
我要反馈 | 问题反馈
QQ余额提现 | QQ
查看淘宝快递 | 手机淘宝
打开乐视商城 | 乐视商城
关闭应用商店 | 设置
支付宝付款 | 支付宝
微信发红包 | 微信
QQ空间 | QQ
微信朋友圈 | 微信
打开QQ | QQ
打开QQ音乐 | QQ音乐
打开QQ音乐 | QQ音乐
打开QQ | QQ
打开微信 | 微信
打开快手 | 快手
微信 | 微信
腾讯地图打开 | 腾讯地图
导航 | 高德导航
打开应用锁 | 应用锁
打开QQ | QQ
明天天气怎么样 | 天气
打开墨迹天气 | 墨迹天气
播放电台 | 音乐
播放音乐 | 音乐
打开微信 | 微信
播放本地音乐 | 音乐
播放本地音乐 | 音乐
卸载讯飞输入法下载搜狗输入法 | 设置
微博 | 新浪微博
关闭数据数据流量 | 设置
打开QQ | QQ
打开微信 | 微信
q添加新朋友QQ添加新朋友 | QQ
就是三发短信 | 信息
打开王者荣耀 | 王者荣耀
给邱石财发微信你在干嘛 | 微信
QQ微信收款 | 微信
微信付款 | 微信
发短信 | 信息
发微信给老妈在干嘛 | 微信
微信朋友圈 | 微信
给幸福一家人发红包 | 微信
发红包给范将军一世情1块钱 | 微信
支付宝扫一扫 | 支付宝
打开QQ发 | QQ
查看天气 | 天气
关闭微信 | 设置
手机加速 | 管家
清理后台 | 管家
播放明天本地音乐 | 音乐
我要拍照 | 相机
微信发红包 | 微信
清理后台 | 管家
打开相机拍照 | 相机
微信二维码付款 | 微信
微信扫一扫 | 微信
打开淘宝 | 手机淘宝
打开淘宝 | 手机淘宝
打开百度地图 | 百度地图
打开QQ音乐 | QQ音乐
支付宝付款 | 支付宝
支付宝付款 | 支付宝
打开酷狗音乐播放器 | 酷狗音乐
打开应用商店 | 应用商店
打开QQ | QQ
打开QQ发红包 | 微信
打开QQ | QQ
微信二维码付款 | 微信
启动音乐播放器 | 音乐
启动音乐新歌榜 | 音乐
启动音乐播放器 | 音乐
启动相机 | 相机
启动文件管理查看 | 文件管理
打开淘宝 | 手机淘宝
启动图库 | 相册
播放最近 | 乐视视频
播放原创音乐榜 | 音乐
拍摄照片 | 相机
播放新歌榜 | 音乐
设置主题 | 主题商店
设置主题 | 主题商店
图库查看相册 | 相册
查天气预报 | 天气
打开微信 | 微信
打开QQ | QQ
用微信给刘伟琳发消息 | 微信
用QQ给刘伟琳发消息 | QQ
用QQ给刘伟林发消息在吗 | QQ
用QQ给刘伟琳发消息明天会去学校吗 | QQ
打开乐视商城 | 乐视商城
刘维林发红包 | 微信
QQ给刘伟林发红包 | QQ
用QQ给刘伟零一发红包 | QQ
用的都给刘伟林发红包 | 微信
用QQ给刘伟林发红包 | QQ
拆红包给刘伟林用QQ | QQ
播放本地视频鬼妈妈 | 乐视视频
给注意勤发一个一毛钱的红包 | QQ
发红包给朱逸群 | QQ
播放本地音乐 | 音乐
发一个一毛钱的红包给朱逸群 | QQ
发一毛钱给朱亦群 | 微信
用QQ给朱逸群发一个一毛钱的红包 | QQ
发一毛钱给朱亦群用QQ | QQ
发红包给朱逸群一毛钱 | 微信
用QQ给朱逸群发一个一毛钱的红包 | QQ
播放甄嬛传第五集 | 乐视视频
用QQ给朱逸群发一个一毛钱的红包 | QQ
打开优酷搜索暴走看啥片儿 | 优酷视频
发红包给朱逸群 | 微信
发红包给晨曦微露倾半世阳光 | 微信
查看照片 | 相册
查看照片 | 相册
查看照片 | 相册
切换壁纸 | 壁纸
播放甄嬛传第五集 | 乐视视频
播放甄嬛传第五集 | 乐视视频
播放甄嬛传第五集 | 乐视视频
播放甄嬛传第五集 | 乐视视频
播放甄嬛传第五集 | 乐视视频
